"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1200","Login gagal tanpa username","","2026-03-17","passed","2026-03-17","Login Feature","login.spec.js","",""
"","1157","Login berhasil dengan credential valid","","2026-03-17","passed","2026-03-17","Login Feature","login.spec.js","",""
"","1138","Checkout gagal tanpa isi form","","2026-03-17","passed","2026-03-17","Checkout Feature","checkout.spec.js","",""
"","1496","Login gagal tanpa password","","2026-03-17","passed","2026-03-17","Login Feature","login.spec.js","",""
"","1157","User bisa membuka halaman cart","","2026-03-17","passed","2026-03-17","Cart Feature","cart.spec.js","",""
"","2127","User bisa logout","","2026-03-17","passed","2026-03-17","Checkout Feature","checkout.spec.js","",""
"","1590","User berhasil checkout","","2026-03-17","passed","2026-03-17","Checkout Feature","checkout.spec.js","",""
"","1245","User bisa add product ke cart","","2026-03-17","passed","2026-03-17","Cart Feature","cart.spec.js","",""
"","961","Login gagal dengan password salah","","2026-03-17","passed","2026-03-17","Login Feature","login.spec.js","",""
"","1098","User bisa remove produk dari cart","","2026-03-17","passed","2026-03-17","Cart Feature","cart.spec.js","",""
